"ligand","receptor","prob","ligand_confidence","receptor_confidence","combined_confidence","final_score"
"Pnoc","Oprl1",0,0.66759156396477,0.695207698640354,0.681259711722088,0
"Rln1","Rxfp1",0,0.681408864913697,0.729051457695851,0.704827728067083,0
"Rln1","Rxfp3",0,0.681408864913697,0.718618219474263,0.699766264718627,0
"Sst","Sstr2",0,0.726923319583509,0.707903061490354,0.717350153970777,0
"Sst","Sstr4",0,0.726923319583509,0.686833512916516,0.706594153110876,0
"Tac1","Tacr1",9.02626885711045e-05,0.649566105888667,0.686190871598332,0.667627390361179,6.02618432177103e-05
"Tac2","Tacr3",0,0.718088537492423,0.627152432034394,0.671081941870286,0
"Trh","Trhr",0,0.691307176715668,0.702307225675267,0.696785494516485,0
"Trh","Trhr2",0,0.691307176715668,0.649284568185124,0.669966478054768,0
"Vip","Vipr1",0,0.698675854691156,0.697763135073108,0.698219345742571,0
"Vip","Vipr2",0,0.698675854691156,0.695099674420282,0.696885470591212,0
