Cell_ID,X_Coordinate,Y_Coordinate,Assigned_Cell_Type,Assignment_Probability,Is_Top_75_Percent,ROI_Region,In_E_Region,In_MVL_Region
CR158ee290a-5831,14378.97625,14032.878749999998,Ex_DACH2_ADAMTS5,0.001203591,True,outside,False,False
CR158ee290a-5832,28316.175625,7587.806249999999,Ex_DACH2_NR4A3,0.001968819,True,outside,False,False
CR158ee290a-5833,24973.13310344828,8674.954827586207,Inh_MGE_like_SST_SLC24A2,0.0028494287,True,outside,False,False
CR158ee290a-5834,27316.33588235294,9673.90823529412,Inh_OB_CPA6,0.0021053283,True,outside,False,False
CR158ee290a-5835,20277.16,25387.8325,Inh_LGE_like_FOXP2,0.0007875851,True,outside,False,False
CR158ee290a-5836,9168.533636363636,16127.453636363634,Inh_OB_CPA6,0.0018373685,True,e,True,False
CR158ee290a-5837,31867.385,8033.865000000001,Ex_DACH2_GRIK4,0.0007166808,True,outside,False,False
CR158ee290a-5838,9272.948571428573,17072.96,Ex_DACH2_ADAMTS5,0.0014102142,True,e,True,False
CR158ee290a-5839,29982.84,8880.39956521739,Ex_SATB2_ZNF385B,0.0016702575,True,outside,False,False
CR158ee290a-584,6172.1900000000005,16529.815384615384,Ex_SATB2_FOXP2,0.00079738424,True,e,True,False
CR158ee290a-5840,26277.307142857146,14031.467857142856,Ex_SATB2_ZNF385B,0.0015741284,True,outside,False,False
CR158ee290a-5841,23530.752916666665,9718.407916666669,Inh_MGE_like_SST_SLC24A2,0.004832841,True,outside,False,False
CR158ee290a-5842,20024.832142857143,14229.574285714289,Inh_LGE_like_FOXP2,0.00043477514,True,outside,False,False
CR158ee290a-5843,4686.553333333333,13571.269666666669,Ex_DACH2_LHX2,0.0015632913,True,outside,False,False
CR158ee290a-5844,20924.676363636365,10672.553636363637,Ex_DACH2_GRIK4,0.0007415305,True,outside,False,False
CR158ee290a-5845,9480.111666666666,14767.475,Ex_SATB2_SOX6,0.00060236076,True,e,True,False
CR158ee290a-5846,9669.01588235294,23072.103529411765,Inh_LGE_like_FOXP1_DGKH,0.0012277825,True,outside,False,False
CR158ee290a-5847,11630.354545454544,14819.096363636363,Ex_SATB2_OVOA,0.002493554,True,e,True,False
CR158ee290a-5848,13516.097826086956,17624.19391304348,Inh_LGE_like_FOXP2,0.00090472447,True,outside,False,False
